"Canonical_Employer_Key","Employer_Display_Name","Canonical_Industry","Record_Count","Original_Name_Count","Original_Key_Count","Original_Industry_Count","Original_Names","Original_Keys","Original_Industries"
"SHP LEADING DESIGN","SHP Leading Design","Architecture and Planning","1","1","1","1","SHP Leading Design","SHP LEADING DESIGN","Architecture and Planning"
"SHURTAPE TECHNOLOGIES","Shurtape Technologies, LLC","Manufacturing","1","1","1","1","Shurtape Technologies, LLC","SHURTAPE TECHNOLOGIES","Manufacturing"
"SIEMENS HEALTHINEERS","Siemens Healthineers","Medical Devices","1","1","1","1","Siemens Healthineers","SIEMENS HEALTHINEERS","Medical Devices"
"SIEMENS PLM SOFTWARE","Siemens PLM Software","NA","1","1","1","0","Siemens PLM Software","SIEMENS PLM SOFTWARE",""
"SIGNAL SECURITY","Signal Security","NA","1","1","1","0","Signal Security","SIGNAL SECURITY",""
"SIGNATURE HARDWARE","Signature Hardware","Construction","1","1","1","1","Signature Hardware","SIGNATURE HARDWARE","Construction"
"SILICON VALLEY BANKCAPITAL","Silicon Valley Bank-Capital","NA","1","1","1","0","Silicon Valley Bank-Capital","SILICON VALLEY BANKCAPITAL",""
"SIMON KUCHER","Simon Kucher","NA","1","1","1","0","Simon Kucher","SIMON KUCHER",""
"SIMON SAYS STAMP","Simon Says Stamp","NA","1","1","1","0","Simon Says Stamp","SIMON SAYS STAMP",""
"SIMPTECH SOLUTIONS","SimpTech Solutions","NA","1","1","1","0","SimpTech Solutions","SIMPTECH SOLUTIONS",""
"SINCLAIR BROADCAST GROUP","Sinclair Broadcast Group","Journalism, Media & Publishing","1","1","1","1","Sinclair Broadcast Group","SINCLAIR BROADCAST GROUP","Journalism, Media & Publishing"
"SIRIUSXM","SiriusXM","Movies, TV, Music, Gaming","1","1","1","1","SiriusXM","SIRIUSXM","Movies, TV, Music, Gaming"
"SIRIUSXM PANDORA","SiriusXM + Pandora","Movies, TV, Music, Gaming","1","1","1","1","SiriusXM + Pandora","SIRIUSXM  PANDORA","Movies, TV, Music, Gaming"
"SKANSKA USA","Skanska USA, Inc","Construction","1","1","1","1","Skanska USA, Inc","SKANSKA USA","Construction"
"SKYEPACK","Skyepack","Higher Education","1","1","1","1","Skyepack","SKYEPACK","Higher Education"
"SLATEUP","SlateUp Inc","NA","1","1","1","0","SlateUp Inc","SLATEUP",""
"SLK AMERICA","SLK America","Internet & Software","1","1","1","1","SLK America","SLK AMERICA","Internet & Software"
"SMEARCASE FROZEN COTTAGE CHEESE","Smearcase Frozen Cottage Cheese","NA","1","1","1","0","Smearcase Frozen Cottage Cheese","SMEARCASE FROZEN COTTAGE CHEESE",""
"SND MANUFACTURING","SND Manufacturing","NA","1","1","1","0","SND Manufacturing","SND MANUFACTURING",""
"SNOWIE CINCINNATI","Snowie Cincinnati","Food & Beverage","1","1","1","1","Snowie Cincinnati","SNOWIE CINCINNATI","Food & Beverage"
"SOCCER CITY","Soccer City","NA","1","1","1","0","Soccer City","SOCCER CITY",""
"SOCCER VILLAGE","Soccer Village, Inc","Retail Stores","1","1","1","1","Soccer Village, Inc","SOCCER VILLAGE","Retail Stores"
"SOLAR TINT AND ST GRAPHICS","Solar Tint and ST Graphics","Other Industries","1","1","1","1","Solar Tint and ST Graphics","SOLAR TINT AND ST GRAPHICS","Other Industries"
"SOLDIER MOUNTAIN","Soldier Mountain","NA","1","1","1","0","Soldier Mountain","SOLDIER MOUNTAIN",""
"SOLE REVIVAL","Sole Revival","NA","1","1","1","0","Sole Revival","SOLE REVIVAL",""
"SOMERVILLE AND","Somerville & Co","Accounting","1","1","1","1","Somerville & Co","SOMERVILLE AND","Accounting"
"SOTANEXT","SOTANEXT","NA","1","1","1","0","SOTANEXT","SOTANEXT",""
"SOUTH BEND WOODWORKS","South Bend Woodworks LLC","Manufacturing","1","1","1","1","South Bend Woodworks LLC","SOUTH BEND WOODWORKS","Manufacturing"
"SOUTHERN MICHIGAN BANK AND TRUST","Southern Michigan Bank and Trust","Commercial Banking & Credit","1","1","1","1","Southern Michigan Bank and Trust","SOUTHERN MICHIGAN BANK AND TRUST","Commercial Banking & Credit"
"SOUTHERN OHIO PIZZA","Southern Ohio Pizza INC","NA","1","1","1","0","Southern Ohio Pizza INC","SOUTHERN OHIO PIZZA",""
"SOUTHWEST CONSERVATION CORPS","Southwest Conservation Corps","Environmental Services","1","1","1","1","Southwest Conservation Corps","SOUTHWEST CONSERVATION CORPS","Environmental Services"
"SOUTHWEST RESEARCH INSTITUTE","Southwest Research Institute","Research","1","1","1","1","Southwest Research Institute","SOUTHWEST RESEARCH INSTITUTE","Research"
"SPACEX","SpaceX","Aerospace","1","1","1","1","SpaceX","SPACEX","Aerospace"
"SPECTRUM","Spectrum","Movies, TV, Music, Gaming","1","1","1","1","Spectrum","SPECTRUM","Movies, TV, Music, Gaming"
"SPIFF","Spiff","NA","1","1","1","0","Spiff","SPIFF",""
"SPIRIT CONSULTING","Spirit Consulting","Human Resources","1","1","1","1","Spirit Consulting","SPIRIT CONSULTING","Human Resources"
"SPORTS FORCE PARKS AT CEDAR POINT SPORTS CENTER","Sports Force Parks at Cedar Point Sports Center","Sports & Leisure","1","1","1","1","Sports Force Parks at Cedar Point Sports Center","SPORTS FORCE PARKS AT CEDAR POINT SPORTS CENTER","Sports & Leisure"
"SPORTS INFO SOLUTIONS","Sports Info Solutions","Sports & Leisure","1","1","1","1","Sports Info Solutions","SPORTS INFO SOLUTIONS","Sports & Leisure"
"SPRINTS ATHLETIC APPAREL","Sprints Athletic Apparel","NA","1","1","1","0","Sprints Athletic Apparel","SPRINTS ATHLETIC APPAREL",""
"SRS DISTRIBUTION INC WILLOUGHBY SUPPLY","SRS Distribution Inc. Willoughby Supply","NA","1","1","1","0","SRS Distribution Inc. Willoughby Supply","SRS DISTRIBUTION INC WILLOUGHBY SUPPLY",""
"SSANDC TECHNOLOGIES","SS&C Technologies","Internet & Software","1","1","1","1","SS&C Technologies","SSANDC TECHNOLOGIES","Internet & Software"
"SSECO SOLUTIONS SERVICE STATION EQUIPMENT","SSECO Solutions (Service Station Equipment Co., Inc.)","NA","1","1","1","0","SSECO Solutions (Service Station Equipment Co., Inc.)","SSECO SOLUTIONS SERVICE STATION EQUIPMENT",""
"SSI SECURITIES","SSI Securities Corporation","NA","1","1","1","0","SSI Securities Corporation","SSI SECURITIES",""
"ST HENRY TILE","St Henry tile Co","NA","1","1","1","0","St Henry tile Co","ST HENRY TILE",""
"STAC ENTERPRISES","STAC Enterprises LLC","Internet & Software","1","1","1","1","STAC Enterprises LLC","STAC ENTERPRISES","Internet & Software"
"STACK CONSTRUCTION TECHNOLOGIES","STACK Construction Technologies","Internet & Software","1","1","1","1","STACK Construction Technologies","STACK CONSTRUCTION TECHNOLOGIES","Internet & Software"
"STAFFING CONSULTANT","Staffing Consultant","NA","1","1","1","0","Staffing Consultant","STAFFING CONSULTANT",""
"STAGE DOOR STUDIOS","Stage Door Studios","NA","1","1","1","0","Stage Door Studios","STAGE DOOR STUDIOS",""
"STANDARDAERO","StandardAero","Aerospace","1","1","1","1","StandardAero","STANDARDAERO","Aerospace"
"STANDEX ELECTRONICS","Standex Electronics","Manufacturing","1","1","1","1","Standex Electronics","STANDEX ELECTRONICS","Manufacturing"
"STANFORD HEALTH CARE","Stanford Health Care","Healthcare","1","1","1","1","Stanford Health Care","STANFORD HEALTH CARE","Healthcare"
"STANLEY STEEMER","Stanley Steemer","Manufacturing","1","1","1","1","Stanley Steemer","STANLEY STEEMER","Manufacturing"
"STATE FARM KEVIN MOLLOY","State Farm - Kevin Molloy","NA","1","1","1","0","State Farm - Kevin Molloy","STATE FARM  KEVIN MOLLOY",""
"STATE FARM MIKE DAILEY AGENCY","State Farm - Mike Dailey Agency","NA","1","1","1","0","State Farm - Mike Dailey Agency","STATE FARM  MIKE DAILEY AGENCY",""
"STATE FARM ENTERPRISE TECHNOLOGY","State Farm Enterprise Technology","NA","1","1","1","0","State Farm Enterprise Technology","STATE FARM ENTERPRISE TECHNOLOGY",""
"STATE FARM INSURANCE VIRGIL LOVITT","State Farm Insurance - Virgil Lovitt","NA","1","1","1","0","State Farm Insurance - Virgil Lovitt","STATE FARM INSURANCE  VIRGIL LOVITT",""
"STATE FARM MARK MIKLAUTSCH","State Farm- mark miklautsch","NA","1","1","1","0","State Farm- mark miklautsch","STATE FARM MARK MIKLAUTSCH",""
"STATE FARM MIKE DAILEY","state farm mike dailey","NA","1","1","1","0","state farm mike dailey","STATE FARM MIKE DAILEY",""
"STATE OF OHIO","State of Ohio","Government - Local, State & Federal","1","1","1","1","State of Ohio","STATE OF OHIO","Government - Local, State & Federal"
"STEIDEN LAW OFFICES","Steiden Law Offices","NA","1","1","1","0","Steiden Law Offices","STEIDEN LAW OFFICES",""
"STEINBERG TALENT MANAGEMENT","Steinberg Talent Management","NA","1","1","1","0","Steinberg Talent Management","STEINBERG TALENT MANAGEMENT",""
"STERIS","STERIS","Healthcare","1","1","1","1","STERIS","STERIS","Healthcare"
"STERLING TRANSITIONS","Sterling Transitions","NA","1","1","1","0","Sterling Transitions","STERLING TRANSITIONS",""
"STNL DEVELOPMENT","STNL Development","Real Estate","1","1","1","1","STNL Development","STNL DEVELOPMENT","Real Estate"
"STONEWOOD PRODUCTS","Stonewood Products","Construction","1","1","1","1","Stonewood Products","STONEWOOD PRODUCTS","Construction"
"STOROPACK","Storopack","NA","1","1","1","0","Storopack","STOROPACK",""
"STOUT RISIUS ROSS","Stout Risius Ross, LLC","NA","1","1","1","0","Stout Risius Ross, LLC","STOUT RISIUS ROSS",""
"STRATEGIC INSURANCE SOFTWARE","Strategic Insurance Software","Internet & Software","1","1","1","1","Strategic Insurance Software","STRATEGIC INSURANCE SOFTWARE","Internet & Software"
"STRATEGIC WEALTH PARTNERS","Strategic Wealth Partners","Investment / Portfolio Management","1","1","1","1","Strategic Wealth Partners","STRATEGIC WEALTH PARTNERS","Investment / Portfolio Management"
"STUMPS LANES WESTSIDE BOWLING","Stumps Lanes Westside Bowling","NA","1","1","1","0","Stumps Lanes Westside Bowling","STUMPS LANES WESTSIDE BOWLING",""
"STUMPS WESTSIDE BOWLING","Stumps Westside Bowling","NA","1","1","1","0","Stumps Westside Bowling","STUMPS WESTSIDE BOWLING",""
"SUGAR CREEK BRANDWORTHY FOOD SOLUTIONS","Sugar Creek Brandworthy Food Solutions","NA","1","1","1","0","Sugar Creek Brandworthy Food Solutions","SUGAR CREEK BRANDWORTHY FOOD SOLUTIONS",""
"SUGARCREEK PACKING","SugarCreek Packing CO","NA","1","1","1","0","SugarCreek Packing CO","SUGARCREEK PACKING",""
"SUMMIT FINANCIAL GROUP","Summit Financial Group","Investment / Portfolio Management","1","1","1","1","Summit Financial Group","SUMMIT FINANCIAL GROUP","Investment / Portfolio Management"
"SUNCHODESA","Sunchodesa","NA","1","1","1","0","Sunchodesa","SUNCHODESA",""
"SUNDANCE PROPERTY MANAGEMENT","Sundance Property Management LLC","Real Estate","1","1","1","1","Sundance Property Management LLC","SUNDANCE PROPERTY MANAGEMENT","Real Estate"
"SUNLAND LOGISTICS SOLUTIONS","Sunland Logistics Solutions","NA","1","1","1","0","Sunland Logistics Solutions","SUNLAND LOGISTICS SOLUTIONS",""
"SUNRISE FARMS","sunrise farms","NA","1","1","1","0","sunrise farms","SUNRISE FARMS",""
"SURGE STAFFING","Surge Staffing","Staffing & Recruiting","1","1","1","1","Surge Staffing","SURGE STAFFING","Staffing & Recruiting"
"SURGERE","Surgere","Other Industries","1","1","1","1","Surgere","SURGERE","Other Industries"
"SURREAL ENTERTAINMENT","Surreal Entertainment","Movies, TV, Music, Gaming","1","1","1","1","Surreal Entertainment","SURREAL ENTERTAINMENT","Movies, TV, Music, Gaming"
"SWEET DAHLIA VINTAGE PIXEL 19","Sweet Dahlia Vintage / Pixel 19","NA","1","1","1","0","Sweet Dahlia Vintage / Pixel 19","SWEET DAHLIA VINTAGE  PIXEL 19",""
"SWISSLOG","Swisslog","Transportation & Logistics","1","1","1","1","Swisslog","SWISSLOG","Transportation & Logistics"
"SYDNEY UNI SPORT AND FITNESS","Sydney Uni Sport & Fitness","NA","1","1","1","0","Sydney Uni Sport & Fitness","SYDNEY UNI SPORT AND FITNESS",""
"SYMMETRY SYSTEMS","Symmetry Systems","Internet & Software","1","1","1","1","Symmetry Systems","SYMMETRY SYSTEMS","Internet & Software"
"SYNCOM SPACE SERVICES","Syncom Space Services","Government - Local, State & Federal","1","1","1","1","Syncom Space Services","SYNCOM SPACE SERVICES","Government - Local, State & Federal"
"T MARZETTI","T Marzetti","NA","1","1","1","0","T Marzetti","T MARZETTI",""
"TAKATSU MANUFACTURING NORTH AMERICA","Takatsu Manufacturing North America, Inc","NA","1","1","1","0","Takatsu Manufacturing North America, Inc","TAKATSU MANUFACTURING NORTH AMERICA",""
"TAKEDA PHARMACEUTICALS","Takeda Pharmaceuticals","Pharmaceuticals","1","1","1","1","Takeda Pharmaceuticals","TAKEDA PHARMACEUTICALS","Pharmaceuticals"
"TALEMED","TaleMed","Healthcare","1","1","1","1","TaleMed","TALEMED","Healthcare"
"TALENT ALLY","Talent Ally","NA","1","1","1","0","Talent Ally","TALENT ALLY",""
"TANCO CONSULTING AND TRADING JOINT STOCK COMPANY TANCO JSC","TanCo Consulting and Trading Joint Stock Company (TanCo JSC.)","NA","1","1","1","0","TanCo Consulting and Trading Joint Stock Company (TanCo JSC.)","TANCO CONSULTING AND TRADING JOINT STOCK COMPANY TANCO JSC",""
"TARGETED VICTORY","Targeted Victory","Advertising, PR & Marketing","1","1","1","1","Targeted Victory","TARGETED VICTORY","Advertising, PR & Marketing"
"TAROS CHEMICALS GMBH AND CO KG","Taros Chemicals GmbH & Co. KG","NA","1","1","1","0","Taros Chemicals GmbH & Co. KG","TAROS CHEMICALS GMBH AND CO KG",""
"TAYLOR AND POND","Taylor and Pond","NA","1","1","1","0","Taylor and Pond","TAYLOR AND POND",""
"TAYLOR HYUNDAI OF PERRYSBURG","Taylor Hyundai of Perrysburg","NA","1","1","1","0","Taylor Hyundai of Perrysburg","TAYLOR HYUNDAI OF PERRYSBURG",""
"TCP LIGHTING","TCP Lighting","Manufacturing","1","1","1","1","TCP Lighting","TCP LIGHTING","Manufacturing"
"TECHNIQUE","TECH-Nique, Inc","NA","1","1","1","0","TECH-Nique, Inc","TECHNIQUE",""
"TECSTONE GRANITE","Tecstone Granite","Other Industries","1","1","1","1","Tecstone Granite","TECSTONE GRANITE","Other Industries"
"TEKION","Tekion","Internet & Software","1","1","1","1","Tekion","TEKION","Internet & Software"
"TEKSPIKES","TEKSPIKES","NA","1","1","1","0","TEKSPIKES","TEKSPIKES",""
"TELLURIDE REAL ESTATE","Telluride Real Estate Corp","NA","1","1","1","0","Telluride Real Estate Corp","TELLURIDE REAL ESTATE",""
"TENTE","TENTE","Manufacturing","1","1","1","1","TENTE","TENTE","Manufacturing"
"TERON LIGHTING","Teron Lighting","Manufacturing","1","1","1","1","Teron Lighting","TERON LIGHTING","Manufacturing"
"TESOURO HQ","Tesouro HQ, Inc","NA","1","1","1","0","Tesouro HQ, Inc","TESOURO HQ",""
"TETRA PAK","Tetra Pak","Food & Beverage","1","1","1","1","Tetra Pak","TETRA PAK","Food & Beverage"
"ANDERSONS","The Andersons Inc","Agriculture","1","1","1","1","The Andersons Inc","THE ANDERSONS","Agriculture"
"ARMORED GROUP","The Armored Group, LLC","Scientific and Technical Consulting","1","1","1","1","The Armored Group, LLC","THE ARMORED GROUP","Scientific and Technical Consulting"
"AZEK","The AZEK Company","Manufacturing","1","1","1","1","The AZEK Company","THE AZEK","Manufacturing"
"BAGELRY","The Bagelry","Restaurants & Food Service","1","1","1","1","The Bagelry","THE BAGELRY","Restaurants & Food Service"
"BATH STATE BANK","The Bath State Bank","NA","1","1","1","0","The Bath State Bank","THE BATH STATE BANK",""
"BRAND EVALUATOR","The Brand Evaluator","Advertising, PR & Marketing","1","1","1","1","The Brand Evaluator","THE BRAND EVALUATOR","Advertising, PR & Marketing"
"CARLISLE AND FINCH","The Carlisle & Finch Co","NA","1","1","1","0","The Carlisle & Finch Co","THE CARLISLE AND FINCH",""
"CLOROX","The Clorox Company","CPG - Consumer Packaged Goods","1","1","1","1","The Clorox Company","THE CLOROX","CPG - Consumer Packaged Goods"
"COCACOLA","The Coca-Cola Company","Food & Beverage","1","1","1","1","The Coca-Cola Company","THE COCACOLA","Food & Beverage"
"COLUMBUS TEAM","The Columbus Team","NA","1","1","1","0","The Columbus Team","THE COLUMBUS TEAM",""
"COOKIE JAR","The Cookie Jar","Retail Stores","1","1","1","1","The Cookie Jar","THE COOKIE JAR","Retail Stores"
"DEACON","The Deacon","Hotels & Accommodation","1","1","1","1","The Deacon","THE DEACON","Hotels & Accommodation"
"DROZA GROUP","The Droza Group","NA","1","1","1","0","The Droza Group","THE DROZA GROUP",""
"FOLTZ TEAM","The Foltz Team","Real Estate","1","1","1","1","The Foltz Team","THE FOLTZ TEAM","Real Estate"
"FUNNEL CAKE TREE","The Funnel Cake Tree","Fashion","1","1","1","1","The Funnel Cake Tree","THE FUNNEL CAKE TREE","Fashion"
"GREENTREE GROUP","The Greentree Group","Information Technology","1","1","1","1","The Greentree Group","THE GREENTREE GROUP","Information Technology"
"HANOVER INSURANCE GROUP","The Hanover Insurance Group","Insurance","1","1","1","1","The Hanover Insurance Group","THE HANOVER INSURANCE GROUP","Insurance"
"KROGER CO CINCINNATI","The Kroger Co. - Cincinnati","NA","1","1","1","0","The Kroger Co. - Cincinnati","THE KROGER CO  CINCINNATI",""
"LITTLE TIKES","The Little Tikes Company","NA","1","1","1","0","The Little Tikes Company","THE LITTLE TIKES",""
"LORING GROUP","The Loring Group","NA","1","1","1","0","The Loring Group","THE LORING GROUP",""
"LYON GROUP","The Lyon Group","NA","1","1","1","0","The Lyon Group","THE LYON GROUP",""
"MARKETING PACK","The Marketing Pack","NA","1","1","1","0","The Marketing Pack","THE MARKETING PACK",""
"MJ COMPANIES","The MJ Companies","Insurance","1","1","1","1","The MJ Companies","THE MJ COMPANIES","Insurance"
"MONTROSE GROUP","The Montrose Group","NA","1","1","1","0","The Montrose Group","THE MONTROSE GROUP",""
"NORMANDY GROUP","The Normandy Group","Management Consulting","1","1","1","1","The Normandy Group","THE NORMANDY GROUP","Management Consulting"
"OFFICE OF SENATOR BERNIE MORENO","The Office of Senator Bernie Moreno","NA","1","1","1","0","The Office of Senator Bernie Moreno","THE OFFICE OF SENATOR BERNIE MORENO",""
"PROCTER AND GAMBLE DIGITAL ACCELERATOR THE UNIVERSITY OF CINCINNATI","The P&G Digital Accelerator @ The University of Cincinnati","NA","1","1","1","0","The P&G Digital Accelerator @ The University of Cincinnati","THE PANDG DIGITAL ACCELERATOR  THE UNIVERSITY OF CINCINNATI",""
"PADDLE SHACK","The Paddle Shack","NA","1","1","1","0","The Paddle Shack","THE PADDLE SHACK",""
"PITCH CINCINNATI","The Pitch Cincinnati","NA","1","1","1","0","The Pitch Cincinnati","THE PITCH CINCINNATI",""
"PORT OF GREATER CINCINNATI DEVELOPMENT AUTHORITY","The Port of Greater Cincinnati Development Authority","NA","1","1","1","0","The Port of Greater Cincinnati Development Authority","THE PORT OF GREATER CINCINNATI DEVELOPMENT AUTHORITY",""
"PREMIER RESOURCES GROUP","The Premier Resources Group","Staffing & Recruiting","1","1","1","1","The Premier Resources Group","THE PREMIER RESOURCES GROUP","Staffing & Recruiting"
"RECORDS","The Records Company","Other Industries","1","1","1","1","The Records Company","THE RECORDS","Other Industries"
"REKY GROUP","The Reky Group","Sales & Marketing","1","1","1","1","The Reky Group","THE REKY GROUP","Sales & Marketing"
"RESERVES NETWORK","The Reserves Network","Staffing & Recruiting","1","1","1","1","The Reserves Network","THE RESERVES NETWORK","Staffing & Recruiting"
"RETAIL ODYSSEY","The Retail Odyssey","NA","1","1","1","0","The Retail Odyssey","THE RETAIL ODYSSEY",""
"RIDGE OHIO","The Ridge Ohio","Healthcare","1","1","1","1","The Ridge Ohio","THE RIDGE OHIO","Healthcare"
"RUHLIN","The Ruhlin Company","Construction","1","1","1","1","The Ruhlin Company","THE RUHLIN","Construction"
"TIMKEN","The Timken Company","Manufacturing","1","1","1","1","The Timken Company","THE TIMKEN","Manufacturing"
"TOGGERY RESALE BOUTIQUE","The Toggery Resale Boutique","Fashion","1","1","1","1","The Toggery Resale Boutique","THE TOGGERY RESALE BOUTIQUE","Fashion"
"UNITED STATES PLAYING CARD","The United States Playing Card Company","Manufacturing","1","1","1","1","The United States Playing Card Company","THE UNITED STATES PLAYING CARD","Manufacturing"
"VOICE OF YOUR CUSTOMER","The Voice of Your Customer","NA","1","1","1","0","The Voice of Your Customer","THE VOICE OF YOUR CUSTOMER",""
"WILLBURT","The Will-Burt Company","NA","1","1","1","0","The Will-Burt Company","THE WILLBURT",""
"THETA NEUROTECH","Theta Neurotech","NA","1","1","1","0","Theta Neurotech","THETA NEUROTECH",""
"THIRD FEDERAL SAVINGS AND LOAN","Third Federal Savings and Loan","NA","1","1","1","0","Third Federal Savings and Loan","THIRD FEDERAL SAVINGS AND LOAN",""
"THIRTYONE GIFTS","Thirty-One Gifts","Retail Stores","1","1","1","1","Thirty-One Gifts","THIRTYONE GIFTS","Retail Stores"
"THOGUS","Thogus","NA","1","1","1","0","Thogus","THOGUS",""
"THOMPSONBOERGER INSURANCE","Thompson-Boerger Insurance","NA","1","1","1","0","Thompson-Boerger Insurance","THOMPSONBOERGER INSURANCE",""
"THP","THP Limited","Engineering & Construction","1","1","1","1","THP Limited","THP","Engineering & Construction"
"THRIVE COMPANIES","Thrive Companies","Real Estate","1","1","1","1","Thrive Companies","THRIVE COMPANIES","Real Estate"
"THRIVECASH","ThriveCash","NA","1","1","1","0","ThriveCash","THRIVECASH",""
"THYSSENKRUPP BILSTEIN OF AMERICA","thyssenkrupp Bilstein of America","Automotive","1","1","1","1","thyssenkrupp Bilstein of America","THYSSENKRUPP BILSTEIN OF AMERICA","Automotive"
"TIER ONE BUSINESS SOLUTIONS","Tier One Business Solutions","Advertising, PR & Marketing","1","1","1","1","Tier One Business Solutions","TIER ONE BUSINESS SOLUTIONS","Advertising, PR & Marketing"
"TIKTOK","TikTok Inc","Internet & Software","1","1","1","1","TikTok Inc","TIKTOK","Internet & Software"
"TIME TO GIVE","Time to Give","Non-Profit - Other","1","1","1","1","Time to Give","TIME TO GIVE","Non-Profit - Other"
"TIVERTON ADVISORS","Tiverton Advisors LLC","Investment / Portfolio Management","1","1","1","1","Tiverton Advisors LLC","TIVERTON ADVISORS","Investment / Portfolio Management"
"TJX COMPANIES WFU ONLY","TJX Companies (WFU Only)","Retail Stores","1","1","1","1","TJX Companies (WFU Only)","TJX COMPANIES WFU ONLY","Retail Stores"
"TMAP","TMap","NA","1","1","1","0","TMap","TMAP",""
"TMTS","TMTS","NA","1","1","1","0","TMTS","TMTS",""
"TNT FIREWORKS","TNT Fireworks","Other Industries","1","1","1","1","TNT Fireworks","TNT FIREWORKS","Other Industries"
"TOLEDO MUD HENS AND TOLEDO WALLEYE","Toledo Mud Hens & Toledo Walleye","Sports & Leisure","1","1","1","1","Toledo Mud Hens & Toledo Walleye","TOLEDO MUD HENS AND TOLEDO WALLEYE","Sports & Leisure"
"TORY BURCH","Tory Burch","Retail Stores","1","1","1","1","Tory Burch","TORY BURCH","Retail Stores"
"TOTALLY PROMOTIONAL","Totally Promotional","Manufacturing","1","1","1","1","Totally Promotional","TOTALLY PROMOTIONAL","Manufacturing"
"TP4","TP4","NA","1","1","1","0","TP4","TP4",""
"TP4 ADVISORS","TP4 Advisors","Financial Services","1","1","1","1","TP4 Advisors","TP4 ADVISORS","Financial Services"
"TPC PACKAGING SOLUTIONS","TPC Packaging Solutions","Wholesale Trade","1","1","1","1","TPC Packaging Solutions","TPC PACKAGING SOLUTIONS","Wholesale Trade"
"TRAILS END CAMP","Trails End Camp","NA","1","1","1","0","Trails End Camp","TRAILS END CAMP",""
"TRANSAMERICA AGENCY NETWORK","Transamerica Agency Network","Financial Services","1","1","1","1","Transamerica Agency Network","TRANSAMERICA AGENCY NETWORK","Financial Services"
"TRANSAMERICA FINANCIAL ADVISORS","Transamerica Financial Advisors, Inc","Insurance","1","1","1","1","Transamerica Financial Advisors, Inc","TRANSAMERICA FINANCIAL ADVISORS","Insurance"
"TRANSPAK","Transpak, Inc","Manufacturing","1","1","1","1","Transpak, Inc","TRANSPAK","Manufacturing"
"TRANSPLACE","Transplace","NA","1","1","1","0","Transplace","TRANSPLACE",""
"TRAVELCENTERS OF AMERICA","Travelcenters of America","NA","1","1","1","0","Travelcenters of America","TRAVELCENTERS OF AMERICA",""
"TRAVELERS INSURANCE","Travelers Insurance","NA","1","1","1","0","Travelers Insurance","TRAVELERS INSURANCE",""
"TRAVELERS INSURANCE CLEVELAND","Travelers Insurance - Cleveland","NA","1","1","1","0","Travelers Insurance - Cleveland","TRAVELERS INSURANCE  CLEVELAND",""
"TREASURE ISLAND RESORT AND CASINO","Treasure Island Resort & Casino","Hotels & Accommodation","1","1","1","1","Treasure Island Resort & Casino","TREASURE ISLAND RESORT AND CASINO","Hotels & Accommodation"
"TRG INTERNATIONAL","TRG International","Internet & Software","1","1","1","1","TRG International","TRG INTERNATIONAL","Internet & Software"
"TRILOGY REALTY AND DEVELOPMENT","Trilogy realty and development","NA","1","1","1","0","Trilogy realty and development","TRILOGY REALTY AND DEVELOPMENT",""
"TRINITY WEALTH MANAGEMENT","Trinity Wealth Management","NA","1","1","1","0","Trinity Wealth Management","TRINITY WEALTH MANAGEMENT",""
"TRINKETSHOP","Trinketshop","NA","1","1","1","0","Trinketshop","TRINKETSHOP",""
"TRIO COMMERCIAL PROPERTY GROUP","TRIO Commercial Property Group","Real Estate","1","1","1","1","TRIO Commercial Property Group","TRIO COMMERCIAL PROPERTY GROUP","Real Estate"
"TRIPACK","Tripack","NA","1","1","1","0","Tripack","TRIPACK",""
"TRIQUETRA HEALTH","Triquetra Health","Sales & Marketing","1","1","1","1","Triquetra Health","TRIQUETRA HEALTH","Sales & Marketing"
"TRISTATE HORIZONS","Tri-State Horizons","NA","1","1","1","0","Tri-State Horizons","TRISTATE HORIZONS",""
"TRISTATE PLAN ADMINISTRATION","Tri-State Plan Administration, Inc","Investment / Portfolio Management","1","1","1","1","Tri-State Plan Administration, Inc","TRISTATE PLAN ADMINISTRATION","Investment / Portfolio Management"
"TRUCKBASE","Truckbase Inc","NA","1","1","1","0","Truckbase Inc","TRUCKBASE",""
"TRUE COMPASS CONSTRUCTION","True Compass Construction","NA","1","1","1","0","True Compass Construction","TRUE COMPASS CONSTRUCTION",""
"TRUEBLOOD WEALTH MANAGEMENT","Trueblood Wealth Management","NA","1","1","1","0","Trueblood Wealth Management","TRUEBLOOD WEALTH MANAGEMENT",""
"TRUEPOINT WEALTH COUNSELING","Truepoint Wealth Counseling","NA","1","1","1","0","Truepoint Wealth Counseling","TRUEPOINT WEALTH COUNSELING",""
"TRUGREEN LAWNCARE","TruGreen Lawncare","NA","1","1","1","0","TruGreen Lawncare","TRUGREEN LAWNCARE",""
"TRUSTAFF","Trustaff","NA","1","1","1","0","Trustaff","TRUSTAFF",""
"TSS TRUCK SERVICE","TSS Truck Service","NA","1","1","1","0","TSS Truck Service","TSS TRUCK SERVICE",""
"TTR SHIPPING","TTR Shipping","Transportation & Logistics","1","1","1","1","TTR Shipping","TTR SHIPPING","Transportation & Logistics"
"TURNER BROADCASTING SYSTEM","Turner Broadcasting System","NA","1","1","1","0","Turner Broadcasting System","TURNER BROADCASTING SYSTEM",""
"TURTLE UP","Turtle Up","Animal & Wildlife","1","1","1","1","Turtle Up","TURTLE UP","Animal & Wildlife"
"TXJ","TXJ","NA","1","1","1","0","TXJ","TXJ",""
