"Canonical_Employer_Key","Employer_Display_Name","Canonical_Industry","Record_Count","Original_Name_Count","Original_Key_Count","Original_Industry_Count","Original_Names","Original_Keys","Original_Industries"
"UNIVERSITY OF CINCINNATI RESIDENT EDUCATION AND DEVELOPMENT RED","University of Cincinnati - Resident Education & Development (RED)","Higher Education","18","1","1","1","University of Cincinnati - Resident Education & Development (RED)","UNIVERSITY OF CINCINNATI  RESIDENT EDUCATION AND DEVELOPMENT RED","Higher Education"
"BKD CPAS AND ADVISORS","BKD CPAs & Advisors","Accounting","17","1","1","1","BKD CPAs & Advisors","BKD CPAS AND ADVISORS","Accounting"
"BOSCH","Bosch","Manufacturing","17","1","1","1","Bosch","BOSCH","Manufacturing"
"CRANE CHEMPHARMA AND ENERGY","Crane ChemPharma & Energy","Manufacturing","17","1","1","1","Crane ChemPharma & Energy","CRANE CHEMPHARMA AND ENERGY","Manufacturing"
"DELAWARE NORTH","Delaware North","Food & Beverage","17","1","1","1","Delaware North","DELAWARE NORTH","Food & Beverage"
"FASTENAL","Fastenal Company","Wholesale Trade","17","2","1","1","Fastenal | Fastenal Company","FASTENAL","Wholesale Trade"
"KINGS ISLAND","Kings Island","Tourism","17","1","1","1","Kings Island","KINGS ISLAND","Tourism"
"PLANTE MORAN","Plante Moran","Accounting","17","1","1","1","Plante Moran","PLANTE MORAN","Accounting"
"SHELDON REDER CPAS","Sheldon Reder CPAs","Accounting","17","1","1","1","Sheldon Reder CPAs","SHELDON REDER CPAS","Accounting"
"UNIVERSITY OF CINCINNATI FOUNDATION","University of Cincinnati Foundation","Non-Profit - Other","17","3","3","1","The University of Cincinnati Foundation | University of Cincinnati - Foundation | University of Cincinnati Foundation","THE UNIVERSITY OF CINCINNATI FOUNDATION | UNIVERSITY OF CINCINNATI  FOUNDATION | UNIVERSITY OF CINCINNATI FOUNDATION","Non-Profit - Other"
"CROWN EQUIPMENT","Crown Equipment Corporation","Manufacturing","16","2","1","1","Crown Equipment | Crown Equipment Corporation","CROWN EQUIPMENT","Manufacturing"
"EYEMED","EyeMed","NA","16","1","1","0","EyeMed","EYEMED",""
"FIDANT WEALTH PARTNERS OF AMERIPRISE FINANCIAL","Fidant Wealth Partners of Ameriprise Financial","Investment / Portfolio Management","16","1","1","1","Fidant Wealth Partners of Ameriprise Financial","FIDANT WEALTH PARTNERS OF AMERIPRISE FINANCIAL","Investment / Portfolio Management"
"GOERING CENTER FOR FAMILY AND PRIVATE BUSINESS","Goering Center for Family & Private Business","Non-Profit - Other","16","1","1","1","Goering Center for Family & Private Business","GOERING CENTER FOR FAMILY AND PRIVATE BUSINESS","Non-Profit - Other"
"JM SMUCKER","J.M. Smucker Company","Food & Beverage","16","2","1","1","J.M. Smucker Co | J.M. Smucker Company","JM SMUCKER","Food & Beverage"
"LEGION LOGISTICS","Legion Logistics, LLC","Transportation & Logistics","16","1","1","1","Legion Logistics, LLC","LEGION LOGISTICS","Transportation & Logistics"
"LYNX SPECIALTY INSURANCE","Lynx Specialty Insurance","Insurance","16","1","1","1","Lynx Specialty Insurance","LYNX SPECIALTY INSURANCE","Insurance"
